City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,taco pozo,-25.6167,-63.2833,297.79,44,0,2.29,AR,1696302199
248,colonia,50.9333,6.95,295.61,73,0,4.63,DE,1696302018
249,lihue,21.9789,-159.3672,300.73,72,43,2.76,US,1696302067
250,dubbo,-32.25,148.6167,303.22,21,62,11.32,AU,1696302172
251,manokwari,-0.8667,134.0833,301.35,71,91,2.12,ID,1696302170
252,faaa,-17.55,-149.6,300.13,78,75,3.6,PF,1696302199
253,beau vallon,-20.4189,57.6953,296.05,94,20,2.57,MU,1696302199
254,lebu,-37.6167,-73.65,282.65,83,93,4.06,CL,1696302137
255,san mariano,7.5,126.0,304.41,59,53,2.03,PH,1696302199
256,riyadh,24.6877,46.7219,300.23,18,0,2.96,SA,1696301914
257,bamboo flat,11.7,92.7167,300.2,89,75,3.09,IN,1696302168
258,gadzhiyevo,69.2551,33.3362,274.64,75,100,2.92,RU,1696302135
259,nabire,-3.3667,135.4833,302.8,67,96,1.49,ID,1696302200
260,hamina,60.5697,27.1979,285.75,88,100,8.54,FI,1696302200
261,ilabaya,-17.4208,-70.5133,291.1,59,5,0.33,PE,1696302200
262,port saint john's,-31.6229,29.5448,292.2,56,0,4.23,ZA,1696302119
263,lerwick,60.1545,-1.1494,285.15,83,7,9.41,GB,1696302156
264,fountain hills,33.6117,-111.7174,299.0,33,0,3.09,US,1696302200
265,zhangjiajie,29.1294,110.4783,291.03,96,100,1.17,CN,1696302200
266,kasongo-lunda,-6.4667,16.8167,294.29,96,100,0.37,CD,1696302200
267,patterson,37.4716,-121.1297,296.01,52,37,2.43,US,1696302185
268,arkhangel'sk,64.5401,40.5433,276.55,84,100,3.5,RU,1696301929
269,porto novo,6.4965,2.6036,300.05,92,48,2.46,BJ,1696302070
270,khandyga,62.6667,135.6,280.78,77,100,0.48,RU,1696302170
271,lompoc,34.6391,-120.4579,289.7,86,0,7.6,US,1696302157
272,itoman,26.1247,127.6694,306.36,79,75,6.69,JP,1696302200
273,port-vila,-17.7338,168.3219,297.1,76,100,11.12,VU,1696302018
274,bilokurakyne,49.5341,38.7307,282.4,80,5,3.27,UA,1696302200
275,pacocha,-17.5833,-71.3333,290.31,86,67,1.5,PE,1696302200
276,muisne,0.6,-80.0333,297.6,80,97,5.49,EC,1696302200
277,sao gabriel da cachoeira,-0.1303,-67.0892,298.17,80,100,0.96,BR,1696302201
278,toulepleu guere,6.574,-8.4259,295.31,99,95,1.01,CI,1696302201
279,kirakira,-10.4544,161.9205,302.53,75,40,5.7,SB,1696302201
280,crookston,47.7741,-96.6081,293.2,88,0,1.54,US,1696302169
281,port macquarie,-31.4333,152.9167,300.31,47,0,8.18,AU,1696302201
282,ancud,-41.8697,-73.8203,279.19,75,88,0.5,CL,1696302135
283,wschowa,51.807,16.3166,287.54,62,59,2.94,PL,1696302201
284,buka,40.8108,69.1986,290.31,30,0,0.35,UZ,1696302201
285,mombetsu,44.3525,143.3525,290.16,72,75,8.23,JP,1696302201
286,peniche,39.3558,-9.3811,293.46,94,26,4.26,PT,1696302201
287,menzelinsk,55.7271,53.1026,286.6,68,100,2.24,RU,1696302201
288,oroqen zizhiqi,50.5667,123.7167,287.48,48,100,2.56,CN,1696302201
289,axim,4.8699,-2.2405,298.39,87,98,3.81,GH,1696302201
290,tommot,58.9564,126.2925,274.81,92,100,3.13,RU,1696302201
